Top250,MovieName,OtherName,Director,Year,Country,Type,Rating,EvaluationNum,quote
106,第六感,鬼眼(港)/灵异第六感(台),M·奈特·沙马兰 M. Night Shyamalan,1999,美国,剧情 悬疑 惊悚,8.9,391481,深入内心的恐怖，出人意料的结局。
107,7号房的礼物,戆爸的礼物(港)/7号囚房的礼物,李焕庆 Hwan-kyeong Lee,2013,韩国,剧情 喜剧 家庭,8.9,371841,《我是山姆》的《美丽人生》。
108,消失的爱人,失踪的女孩/失踪女孩,大卫·芬奇 David Fincher,2014,美国,剧情 犯罪 悬疑 惊悚,8.7,644168,年度最佳date movie。
109,红辣椒,盗梦侦探(港)/帕布莉卡,今敏 Satoshi Kon,2006,日本,动画 悬疑 科幻 惊悚,9.0,278396,梦的勾结。
110,小森林 冬春篇,小森食光 / 冬春篇(台) ,森淳一 Junichi Mori,2015,日本,剧情,9.0,265416,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。
111,爱在黎明破晓前,情留半天(港)/爱在黎明破晓时(台),理查德·林克莱特 Richard Linklater,1995,美国 奥地利 瑞士,剧情 爱情,8.8,426421,缘分是个连绵词，最美不过一瞬。
112,一一,Yi yi/Yi yi: A One and a Two,杨德昌 Edward Yang,2000,中国台湾 日本,剧情 爱情 家庭,9.0,254138,我们都曾经是一一。
113,侧耳倾听,心之谷(台)/梦幻街少女(港),近藤喜文 Yoshifumi Kondo,1995,日本,剧情 爱情 动画,8.9,328299,少女情怀总是诗。
114,唐伯虎点秋香,Flirting Scholar,李力持 Lik-Chi Lee,1993,中国香港,喜剧 爱情 古装,8.6,729550,华太师是黄霑，吴镇宇四大才子之一。
115,超脱,人间师格(台),托尼·凯耶 Tony Kaye,2011,美国,剧情,8.9,333941,穷尽一生，我们要学会的，不过是彼此拥抱。
116,玛丽和马克思,巧克力情缘(台)/同是天涯寂寞客,亚当·艾略特 Adam Elliot,2009,澳大利亚,剧情 喜剧 动画,8.9,332844,你是我最好的朋友，你是我唯一的朋友 。
117,倩女幽魂,倩女幽魂(87版)/倩女幽魂：妖魔道,程小东 Siu-Tung Ching,1987,中国香港,爱情 奇幻 武侠 古装,8.7,517144,两张绝世的脸。 
118,蝙蝠侠：黑暗骑士崛起,蝙蝠侠前传3：黑暗骑士崛起/黑暗骑士：黎明升起(台),克里斯托弗·诺兰 Christopher Nolan,2012,美国 英国,剧情 动作 科幻 犯罪 惊悚,8.8,512451,诺兰就是保证。
119,告白,自白/母亲,中岛哲也 Tetsuya Nakashima,2010,日本,剧情 惊悚,8.7,538035,没有一人完全善，也没有一人完全恶。
120,大鱼,大鱼奇缘(港)/大智若鱼(台),蒂姆·波顿 Tim Burton,2003,美国,剧情 家庭 奇幻 冒险,8.8,423053,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。
121,阳光姐妹淘,阳光姊妹淘(港)/桑尼,姜炯哲 Hyeong-Cheol Kang,2011,韩国,剧情 喜剧,8.8,458490,再多各自牛逼的时光，也比不上一起傻逼的岁月。 
122,甜蜜蜜,Comrades: Almost a Love Story,陈可辛 Peter Chan,1996,中国香港,剧情 爱情,8.8,374290,相逢只要一瞬间，等待却像是一辈子。
123,萤火之森,萤火之社/Hotarubi no mori e,大森贵弘 Takahiro Omori,2011,日本,剧情 爱情 动画 奇幻,8.9,354528,触不到的恋人。
124,射雕英雄传之东成西就,东成西就/大英雄 (日本),刘镇伟 Jeffrey Lau,1993,中国香港,喜剧 奇幻 武侠 古装,8.7,470812,百看不厌。 
125,无人知晓,谁知赤子心(港)/无人知晓的夏日清晨(台),是枝裕和 Hirokazu Koreeda,2004,日本,剧情,9.1,195032,我的平常生活就是他人的幸福。
126,驯龙高手,驯龙记(港),迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders,2010,美国,动画 奇幻 冒险,8.7,547983,和谐的生活离不开摸头与被摸头。
127,超能陆战队,大英雄联盟(港)/大英雄天团(台),唐·霍尔 Don Hall / 克里斯·威廉姆斯 Chris Williams,2014,美国,喜剧 动作 科幻 动画 冒险,8.7,709094,Balalala~~~
128,幸福终点站,机场客运站(港)/航站情缘(台),史蒂文·斯皮尔伯格 Steven Spielberg,2004,美国,喜剧 剧情 爱情,8.8,389429,有时候幸福需要等一等。 
129,借东西的小人阿莉埃蒂,借物少女艾莉缇(台)/借东西的小矮人亚莉亚蒂(港),米林宏昌 Hiromasa Yonebayashi,2010,日本,动画 奇幻 冒险,8.8,387903,曾经的那段美好会沉淀为一辈子的记忆。
130,菊次郎的夏天,菊次郎之夏/Kikujirô no natsu,北野武 Takeshi Kitano,1999,日本,剧情 喜剧,8.8,367846,从没见过那么流氓的温柔，从没见过那么温柔的流氓。
131,爱在日落黄昏时,日落巴黎(港)/爱在日落巴黎时(台),理查德·林克莱特 Richard Linklater,2004,美国 法国,剧情 爱情,8.8,361817,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。
132,恐怖直播,死亡“动”新闻(港)/恐怖攻击直播(台),金秉祐 Byeong-woo Kim,2013,韩国,剧情 犯罪 悬疑,8.8,452412,恐怖分子的“秋菊打官司”。
133,完美的世界,强盗保镳,克林特·伊斯特伍德 Clint Eastwood,1993,美国,剧情 犯罪,9.1,182514,坏人的好总是比好人的好来得更感人。
134,神偷奶爸,卑鄙的我/坏蛋奖门人(港),皮艾尔·柯芬 Pierre Coffin / 克里斯·雷纳德 Chris Renaud,2010,美国 法国,喜剧 动画 冒险,8.6,706655,Mr. I Don't Care其实也有Care的时候。
135,怪兽电力公司,怪兽公司(港)/怪物公司,彼特·道格特 Pete Docter / 大卫·斯沃曼 David Silverman,2001,美国,儿童 喜剧 动画 奇幻 冒险,8.7,462388,不要给它起名字，起了名字就有感情了。
136,功夫,功夫3D/Kung Fu Hustle,周星驰 Stephen Chow,2004,中国大陆 中国香港,动作 喜剧 犯罪 奇幻,8.6,677587,警恶惩奸，维护世界和平这个任务就交给你了，好吗？
137,玩具总动员3,反斗奇兵3(港)/玩具的故事3,李·昂克里奇 Lee Unkrich,2010,美国,喜剧 动画 奇幻 冒险,8.8,358691,跨度十五年的欢乐与泪水。
138,人生果实,积存时间的生活(台)/人生水果,伏原健之 Kenshi Fushihara,2017,日本,纪录片,9.5,96534,土壤没有落叶不会肥沃，没有了你就不算人生。
139,血战钢锯岭,钢锯岭/钢铁英雄(台),梅尔·吉布森 Mel Gibson,2016,美国 澳大利亚,剧情 传记 历史 战争,8.7,579982,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。
140,傲慢与偏见,傲慢与偏见2005/Pride And Prejudice,乔·怀特 Joe Wright,2005,法国 英国 美国,剧情 爱情,8.6,549228,爱是摈弃傲慢与偏见之后的曙光。
141,风之谷,风谷少女/Kaze no tani no Naushika,宫崎骏 Hayao Miyazaki,1984,日本,动画 奇幻 冒险,8.9,281855,动画片的圣经。
142,时空恋旅人,时空旅恋人/回到最爱的一天(港),理查德·柯蒂斯 Richard Curtis,2013,英国,喜剧 爱情 奇幻,8.7,395434,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。
143,天书奇谭,The Legend of Sealed Book/Secrets of the Heavenly Book,王树忱 Shuchen Wang / 钱运达 Yunda Qian,1983(中国大陆),中国大陆,动画 奇幻,9.2,148064,传奇的年代，醉人的童话。
144,教父3,教父第三集/教父 III,弗朗西斯·福特·科波拉 Francis Ford Coppola,1990,美国,剧情 犯罪,8.9,247781,任何信念的力量，都无法改变命运。
145,上帝之城,无主之城 (港)/无法无天 (台),费尔南多·梅里尔斯 Fernando Meirelles / 卡迪亚·兰德 Kátia Lund  &nbsp...,2002,巴西 法国,犯罪 剧情,8.9,231052,被上帝抛弃了的上帝之城。
146,电锯惊魂,夺魂锯(台)/恐惧斗室(港),詹姆斯·温 James Wan,2004,美国,悬疑 惊悚 恐怖,8.7,358463,真相就在眼前。
147,喜宴,The Wedding Banquet,李安 Ang Lee,1993,中国台湾 美国,剧情 喜剧 爱情 同性 家庭,8.9,241293,中国家庭的喜怒哀乐忍。
148,被解救的姜戈,被解放的姜戈/决杀令(台),昆汀·塔伦蒂诺 Quentin Tarantino,2012,美国,剧情 动作 西部 冒险,8.7,439229,热血沸腾，那个低俗、性感的无耻混蛋又来了。
149,英雄本色,A Better Tomorrow/Gangland Boss,吴宇森 John Woo,1986,中国香港,剧情 动作 犯罪,8.7,360649,英雄泪短，兄弟情长。 
150,谍影重重3,叛谍追击3：最后通牒(港)/神鬼认证：最后通牒 (台),保罗·格林格拉斯 Paul Greengrass,2007,美国 德国,动作 悬疑 惊悚,8.8,309481,像吃了苏打饼一样干脆的电影。
151,七武士,七侠四义(港)/七剑客(港),黑泽明 Akira Kurosawa,1954,日本,动作 冒险 剧情,9.2,134824,时代悲歌。
152,哪吒闹海,Prince Nezha's Triumph Against Dragon King/Nezha nao hai,严定宪 Dingxian Yan / 王树忱 Shuchen Wang,1979,中国大陆,冒险 动画 奇幻,9.1,175950,想你时你在闹海。
153,岁月神偷,1969太空漫游/Echoes Of The Rainbow,罗启锐 Alex Law,2010,中国香港 中国大陆,剧情 家庭,8.7,459930,岁月流逝，来日可追。
154,我是山姆,不一样的爸爸(港)/他不笨，他是我爸爸(台),杰茜·尼尔森 Jessie Nelson,2001,美国,剧情 家庭,8.9,216460,爱并不需要智商 。
155,釜山行,尸杀列车(港)/尸速列车(台),延尚昊 Sang-ho Yeon,2016,韩国,动作 惊悚 灾难,8.5,806785,揭露人性的丧尸题材力作。
156,头号玩家,玩家一号/挑战者1号(港),史蒂文·斯皮尔伯格 Steven Spielberg,2018,美国,动作 科幻 冒险,8.7,1017771,写给影迷，动漫迷和游戏迷的一封情书。
157,纵横四海,Once a Thief,吴宇森 John Woo,1991,中国香港,剧情 喜剧 动作 犯罪,8.8,291237,香港浪漫主义警匪动作片的巅峰之作。
